0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
.,1
_,2
u,3
s,4
i,5
e,6
E,7
+,8
-,9
*,10
/,11
<,12
>,13
=,14
!,15
(,16
),17
{,18
},19
<COMMA>,20
;,21
#,22
<EOL>,2
<SPACE>,24
<TAB>,2
<EOF>,2
A,26
B,26
C,26
D,26
F,26
G,26
H,26
I,26
J,26
K,26
L,26
M,26
N,26
O,26
P,26
Q,26
R,26
S,26
T,26
U,26
V,26
W,26
X,26
Y,26
Z,26
a,27
b,27
c,27
d,27
f,27
g,27
h,27
j,27
k,27
l,27
m,27
n,27
o,27
p,27
q,27
r,27
t,27
v,27
w,27
x,27
y,27
z,27
